algoritmo,fold,cutoff,accuracy,f1,kappa,precision,recall,specificity
McFeeters,1,0.43999999999999995,0.5002086478392676,8.342432309749604e-4,4.172956785351012e-4,1,4.172956785350467e-4,1
McFeeters,1,0.44999999999999996,0.5001697820652863,6.788977318272165e-4,3.395641305725672e-4,1,3.39564130572636e-4,1
McFeeters,1,0.45999999999999996,0.50013705299246,5.480617428363422e-4,2.741059849200589e-4,1,2.741059849200797e-4,1
McFeeters,1,0.47,0.5000797771150141,3.190575530739968e-4,1.5955423002811386e-4,1,1.5955423002810608e-4,1
McFeeters,1,0.48,0.5000429569080845,1.7181287123852534e-4,8.591381616906979e-5,1,8.591381616898021e-5,1
McFeeters,1,0.49,0.5000102278352582,4.091050418105353e-5,2.0455670516339453e-5,1,2.0455670516423858e-5,1
McFeeters,1,0.5,0.5,NA,0,NA,0,1
McFeeters,1,0.51,0.5,NA,0,NA,0,1
McFeeters,1,0.52,0.5,NA,0,NA,0,1
McFeeters,1,0.53,0.5,NA,0,NA,0,1
McFeeters,1,0.54,0.5,NA,0,NA,0,1
McFeeters,1,0.55,0.5,NA,0,NA,0,1
McFeeters,1,0.56,0.5,NA,0,NA,0,1
McFeeters,1,0.5700000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.5800000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.5900000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6000000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6100000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6200000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6300000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6400000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6500000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6600000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.6700000000000002,0.5,NA,0,NA,0,1
McFeeters,1,0.6799999999999999,0.5,NA,0,NA,0,1
McFeeters,1,0.69,0.5,NA,0,NA,0,1
McFeeters,1,0.7,0.5,NA,0,NA,0,1
McFeeters,1,0.71,0.5,NA,0,NA,0,1
McFeeters,1,0.72,0.5,NA,0,NA,0,1
McFeeters,1,0.73,0.5,NA,0,NA,0,1
McFeeters,1,0.74,0.5,NA,0,NA,0,1
McFeeters,1,0.75,0.5,NA,0,NA,0,1
McFeeters,1,0.76,0.5,NA,0,NA,0,1
McFeeters,1,0.77,0.5,NA,0,NA,0,1
McFeeters,1,0.78,0.5,NA,0,NA,0,1
McFeeters,1,0.79,0.5,NA,0,NA,0,1
McFeeters,1,0.8,0.5,NA,0,NA,0,1
McFeeters,1,0.81,0.5,NA,0,NA,0,1
McFeeters,1,0.8200000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.8300000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.8400000000000001,0.5,NA,0,NA,0,1
McFeeters,1,0.8500000000000001,0.5,NA,0,NA,0,1
